4.48995E+15,IBJTrAS3n,截至2020年4月4日0时，共统计到388位抗疫殉职人员（有七人的资料尚未报表，故有遗漏），殉职人员大部分是因过度劳累而死的，也就是活活累死的。 ,,,,2020/4/4,曲屏双摄vivo Xplay6,1,0,1,,,1
4.48609E+15,IA7zK2LZ7,【意大利人降下欧盟旗帜 挂起中国和俄罗斯国旗】 疫情之下，患难见真情。新冠肺炎在意大利流行之际，中国、俄罗斯伸出援手，派遣专家提供医疗物资。为表达感谢，意大利人自发将欧盟旗帜换成了中国和俄罗斯国旗。#意大利人将欧盟旗帜换成中国和俄罗斯国旗#俄罗斯Life新闻网24日发布了一段视频，一名意大利居民把欧盟旗帜换成俄罗斯国旗。视频中，原本立着意大利国旗和欧盟旗帜，而一名意大利人拿掉欧盟旗帜，换成了俄罗斯的三色旗。他还向网友展示了这样一行字：“我们相信患难见真情。感谢普京总统，感谢俄罗斯。”无独有偶，有网友还发现，近日意大利多地居民降下欧盟旗帜，升起了中国五星红旗，以表达对中国援助意大利抗击疫情的感谢。随着新冠肺炎蔓延，意大利向世界多国发出援助请求。目前中国、俄罗斯、古巴等国派出医疗队驰援意大利，中国更先后向意大利派遣两批医疗专家。3月12日，中国政府向意大利派遣的首批抗疫医疗专家组抵达罗马。一行9人携带了大量医疗防疫物资和设备，包括呼吸机、心电图仪和数以万计的口罩。3月18日，中国政府派遣的第二批抗疫医疗专家组抵达米兰机场。一行13人随机携带了呼吸机、双通道输液泵、监护仪、检测试剂等9吨捐助物资。俄罗斯也在3月23日派出14架军用飞机前往意大利援助，共同抗击新冠疫情。其中，9架搭载医疗专家和设备的军用飞机抵达目的地。搭载俄罗斯流行病学家和病毒学家的第10架和第11架飞机也已经到达。#意大利人将欧盟旗帜换成中国国旗#（海外网）icon意大利人降下欧盟旗帜 挂起中国和俄罗斯国旗,,,,2020/3/24,曲屏双摄vivo Xplay6,2,0,1,"意大利人将欧盟旗帜换成中国和俄罗斯国旗,意大利人将欧盟旗帜换成中国国旗",,1
4.48598E+15,IA4K0lPn6,近日，美国邀请钟南山赴美知道工作！钟南山:我不代表祖国，我也不代表人民，我只代表我自己，我不同意！ ,,,,2020/3/24,曲屏双摄vivo Xplay6,1,0,1,,,1
4.48537E+15,IzOQWiSlA,北京东城警方通报“武汉刑满释放人员黄某英进京事件”：不追究其法律责任3月2日，北京市新型冠状病毒肺炎疫情防控工作第三十八次新闻发布会通报了“武汉刑满释放人员黄某英进京事件”相关情况。目前，黄某英（女，61岁）经地坛医院治疗，于3月15日治愈出院，正在集中观察，覃某（黄某英之女，37岁）、杨某益（覃某前夫，36岁）经14天隔离观察后，核酸检测均为阴性。北京市公安局东城分局经过调查，杨某益、覃某未遵守疫情防控相关规定，杨某益自武汉返京后仍出入公共场所，覃某未主动向社区报告，隐瞒与杨某益一同前往武汉接回其母亲的事实。3月22日，依据《中华人民共和国治安管理处罚法》第五十条规定，东城公安分局给予杨某益行政拘留处罚，给予覃某治安警告处罚。鉴于黄某英长期在监狱服刑，不了解北京疫情防控工作相关措施，且返京后居家未外出，未造成感染他人的风险，公安机关决定对其不追究法律责任。,,,,2020/3/22,曲屏双摄vivo Xplay6,1,0,1,,,1
4.48431E+15,IznpQmNdw,我刚刚成功抽到了现金红包！小积分竟能抽大礼，机会难得戳我抽奖>> 现金红包天天拿 ,,,,2020/3/19,微博积分,0,0,0,,,1
4.48389E+15,IzcnPANRJ,美国多地警察喊话：疫情期间暂停犯罪，恢复时会提前通知据美国《国会山报》3月17日报道，美国多地的警察都向犯罪分子“隔空喊话”，希望他们在新冠疫情期间暂停犯罪，“等什么时候可以犯罪了，我们会通知你们。”从本月初开始，俄亥俄州、威斯康星州、肯塔基州、犹他州和华盛顿州的警察就纷纷在社交网站上呼吁犯罪分子们休息一下，以便让他们可以集中精力对付新冠病毒疫情。盐湖城警察局上周在社交网站上发帖要求“停止所有犯罪活动，直至另行通知。感谢你们的合作，提前谢谢你们了。等到可以恢复日常犯罪行为时，我们会提前通知。”华盛顿州普亚卢普市警察局3月16日向犯罪分子提出了同样的请求，也表示“我们会让你们知道什么时候可以恢复正常。”布莱恩镇警察局同日也承诺，“一定”让犯罪分子知道何时可以再次从事非法活动。科罗拉多州洛根县治安官办公室也发出了类似的呼吁，要求停止犯罪活动，并“提前”感谢犯罪分子。3月9日，威斯康星州基诺沙警察局在社交网站上宣布，“取消一切犯罪活动”，要求犯罪分子待在家里，这是为他们的安全着想。如果有人知道犯罪线索，欢迎举报。俄勒冈州新港警察局则要求公众不要因为卫生纸用完了就打报警电话。“实在没想到我们要对这件事进行通知。不要因为卫生纸用完了就打911电话。没有我们的帮助，你们也能活下去。,,,,2020/3/18,曲屏双摄vivo Xplay6,1,0,2,,,1
4.48376E+15,Iz94rnLrg,加拿大禁止所有外国人入境来防范疫情，美国公民除外  据俄罗斯卫星通讯社16日报道，加拿大总理贾斯汀·特鲁多(Justin Trudeau)在向全国发表讲话时表示，加拿大将禁止绝大多数外国公民入境。特鲁多说，加拿大采取这一措施是为了控制新型冠状病毒的传播，而美国公民和其他几个类别的游客将不受禁令限制。特鲁多表示:“我们将拒绝非加拿大公民或永久居民进入加拿大。这项措施将划出一些指定的例外，包括机组人员、外交官、加拿大公民的直系亲属，以及美国公民。”特鲁多还概述了其他措施，包括登机前进行登机检查，只允许无症状的个人登机等。此外，他还表示，除了来自美国、墨西哥和加勒比海地区的航班外，所有入境国际航班将被限定在四个机场：多伦多皮尔森机场、蒙特勒-特鲁多机场、卡尔加里机场和温哥华机场。特鲁多还表示，因医疗原因无法返回加拿大的加拿大公民将获得在国外接受治疗资金援助。加拿大还规定从国外回来的人必须自我隔离14天。目前，加拿大各省宣布的确诊和初诊病例已经达到436例，分别为：安大略省177例，不列颠哥伦比亚省103例，艾伯塔省74例，魁北克省50例，马尼托巴省8例，萨斯喀彻温省6例，新不伦瑞克省7例，新斯科舍省5例，爱德华王子岛省1例，纽芬兰和拉布拉多省1例，撤回人员中有4例，共436例。死亡病例4例。,,,,2020/3/18,曲屏双摄vivo Xplay6,1,0,1,,,1
4.48314E+15,IySSYrpu4,甘肃省加强境外来甘返甘人员疫情防控工作省新冠肺炎疫情联防联控领导小组办公室3月14日下发《关于进一步加强境外来甘返甘人员疫情防控的通告》，我省将进一步加强境外来甘返甘人员疫情防控工作。《通告》要求，境外来甘返甘人员，无论是中国公民还是外国人，无论通过境外直接进入或从国内其他城市中转进入我省，必须第一时间主动将本人基本信息、健康状况、活动轨迹向车站、机场检疫人员如实报告，并自觉配合疾控部门严格落实检验检疫、留观等防控措施。对刻意隐瞒接触史、旅居史，故意谎报病情或拒不执行疫情防控措施，引发新冠肺炎病毒传播或造成传播危险的境外来甘返甘人员，将依法追究法律责任。《通告》要求，用工单位要按照“谁用工、谁负责”“谁经营、谁负责”的原则，主动向所在乡镇、街道、社区报告境外来甘返甘人员信息。如不及时报告，造成疫情传播风险的，将依法依规追究责任。乡镇、街道、社区、村组和接待单位、宾馆酒店等必须做好境外来甘返甘人员的信息登记和健康登记，第一时间向当地疫情防控部门报告，及时排查、管控入境人员并配合做好集中留观等工作。对不按规定报告入境人员信息和落实防控责任的，将依法依规严肃处理。广大人民群众可积极举报违反疫情防控措施的境外来甘返甘人员，举报电话：0931-12320。,,,,2020/3/16,曲屏双摄vivo Xplay6,1,0,1,,,1
4.4825E+15,IyChSCgnm,甘肃新增3例境外输入新冠肺炎确诊病例 累计境外输入确诊病例41例3月13日20时至3月14日20时，3月4日、5日两批乘商业包机由伊朗到达兰州309人加3月2日专门转到兰州2人共计311人中，新增1例新冠肺炎确诊病例。新增治愈出院1例。上述311人中累计确诊37例，累计治愈出院2例，现有35例在省级定点医院隔离治疗。现有重型病例1例。伊朗包机境外输入性病例密切接触者274人，其中59人在省级定点医院隔离留观，215人在集中隔离点隔离，正在进一步进行医学检测检查。3月14日0时至3月14日20时，新增2例其他途径来甘境外输入新冠肺炎确诊病例，和3月13日22时确诊的2例病例均为来自沙特的境外输入病例。累计确诊4例，均在临夏州定点医院住院隔离治疗。累计追踪到其他途径来甘境外输入病例密切接触者62人，均在集中隔离点隔离，正在进一步进行医学检测检查。伊朗几批包机来甘确诊病例37例和其他途径来甘境外输入确诊病例4例共计41例。3月13日20时至3月14日20时，甘肃本地无新增新冠肺炎确诊病例，新增治愈出院1例。截止3月14日20时，甘肃本地累计报告新冠肺炎确诊病例91例，累计死亡病例2例，其余89例确诊病例全部治愈出院。目前，甘肃本地无疑似病例，所有密切接触者已全部解除医学观察，实现双清零。来源：甘肃卫健委,,,,2020/3/14,曲屏双摄vivo Xplay6,1,0,1,,,1
4.48177E+15,IyjanD4LI,快讯！伊朗新冠肺炎确诊病例增至10075例伊朗卫生部当地时间12日通报称，过去一天，伊朗新增1075例新冠肺炎确诊病例，累计确诊10075例，累计死亡病例达429例。 ,,,,2020/3/12,曲屏双摄vivo Xplay6,1,0,1,,,1
