3528,4358,1421,1879,3152,203,3528,4049,3687,976,2913,4272,491,3226,1131,2130,2574,2738,3039,956,1838,2677,960,491,1661,2130,2574,763,1628,2884,3526,3071,2130,2574,3206,3271,1417,2130,2574,1969,1927,1011,2673,3993,1131,4274,169,3904,3526,3309,4072,3083,3400,1482,482,2067,3556,4274,169,3904,442,208,1970,567,1838,2467,367,956,4286,670,169,691,4168,482,694,946,1604,3656,662,670,1107,4168,1107,2843,1107,18,793,1582,670,169,662,1833,4072,1983,2916,1582,4168,169,662,4072,1983,2570,665,3726,2916,1582,2843,169,662,4072,1983,2570,2869,3074,1952,946,2916,1582,18,169,662,1833,2869,3074,1838,1582,3018,4360,1131,2523,1729,2130,2574,348,1983,960,2160,2569,2869,3074,1131,482,1931,3799,946,844,1838	0
100,4129,1582,151,1582,3234,1539,2334,2679,4332,1539,1483,131,151,3444,131,3932,1205,1205,3690,1582,4219,4219,1582,3234,1539,2334,2679,4332,1539,1483,131,151,3444,131,3932,1205,1205,2776,1582,3932,1582,3470,1582,2349,1539,1483,131,1582,1205,1582,2349,1539,1483,131,2503,1582,2349,1539,1483,131,2570,2570,2503,1582,2349,1539,1483,131,2101,2101,2503,1582,642,1582,1120,1120,4319,3277,482,3034,3960,2355,3277,2859,482,3277,2565,2928,2085,3226,482,2355,2692,2355,3181	1
4049,547,1192,2160,135,2567,4163,32,924,1011,1848,4271,1582,2540,798,156,1417,867,1305,1760,3018,2378,1737,2677,426,3987,3987,2510,662,1120,1120,3987,2679,3700,3440,1120,3103,107,340,2357,1375,2642,2642,1582,3981,992,2633,372,817,2378,696,12,1783,2101,547,1192,2160,135,3309,4290,2567,2246,508,4163,482,2715,374,844,3246,2354,2249,2473,1131,4028,484,693,870,924,793,209,1110,482,547,1192,2160,135,1959,374,32,389,1760,3018,745,3364,1702,461,847,1848,4271,924,1011,482,686,3512,442,1117,1886,1460,1656,745,2378,693,1583,3228,1117,1986,3472,793,547,1192,2160,135,2540,4093,482,4399,2766,156,1417,3556,1760,3018,867,1305,3246,257,2378,1737,482,199,3055,3041,897,1602,212,2160,1131,4360,3580,793	1
4049,960,1489,1338,630,1668,33,2677,209,104,1272,2573,477,482,3309,4072,1760,2435,482,4273,4245,3797,3254,1131,1489,630,1338,844,3246,700,1668,482,3308,1436,3945,3446,2232,875,793,2355,3400,1277,1206,2569,1146,442,1668,2963,1489,1546,2336,2560,3726,482,3515,1723,3173,1355,4405,3026,482,987,786,2884,844,793	0
104,1272,1723,1983,2569,210,1668,567,1838,2907,2116,1172,2382,1982,384,987,210,844,482,2540,296,3228,2336,4065,2891,442,439,442,1838,173,2780,3557,3661,3502,1483,100,4394,1582,3452,3206,3371,2318,2869,4055,3237,3389,3389,1592,2635,2062,819	1
786,3206,1122,442,2085,3656,3190,747,3190,2940,1131,427,1969,482,3246,246,3716,3246,1231,482,2859,3071,2156,1231,2227,2928,2288,3770,3936,616,700,2789,482,3936,2288,1079,427,1969,2889,3385,2781,3643,2112,3770,771,3226,1131,1821,477,2780,176,482,442,2354,2264,2172,693,4043,844,2889,1448,1184,3994,3799,3556,482,2859,390,3763,1467,737,176,1838,4287,1723,1891,3994,4065,482,2859,176,1504,482,1891,1079,2859,427,1969,691,1821,477,2817,3657,3994,844,793,3845,442,2354,2859,3936,2288,181,781,790,482,2264,2172,1699,2208,781,618,2859,2441,2652,482,2859,1079,790,1670,3259,3808,844,1891,1079,1782,477,781,3657,3994,844,793,960,491,4198,2264,2172,3657,3799,4279,3461	1
4049,3252,1618,4072,3246,3675,98,3246,700,389,4123,2566,693,3685,1117,1786,1582,2355,1849,1952,848,1437,2677,1618,2520,3180,3371,2566,1618,4072,3246,3339,1817,3415,1437,3749,1582,4220,2357,4290,4198,2935,65,793,1618,1131,2357,1800,1668,2643,2172,3315,704,1582,1737,1107,4398,2643,960,3074,1702,2581,2940,55,3277,3018,1305,3033,2382,1582,2330,66,2540,4093,482,1618,4072,3246,3675,98,3246,700,389,4198,3238,1582,4123,2566,693,3685,3065,1117,1786,482,2355,1849,1952,848,1437,3749,482,1582,769,2569,2143,4375,1980,4221,3806,1131,3415,1437,3749,2935,65,482,2907,2569,2643,2172,3315,421,442,1952,3186,694,738,1467,737,1131,4287,1582,1723,793,3523,11,905,2508,372,2330,1582,3523,3356,3553,2215,1582,3523,3394,1233	0
3493,3246,769,166,844,910,3387,3904,1668,1922,1131,2362,166,2796,1333,396,844,482,738,1314,2569,3685,1922,482,4329,1558,2924,1596,1586,1838,494,1862,1862,2850,4072,2183,2435,3246,769,1270,3297,2362,166,2796,693,4043,3246,2891,960,2603,482,1558,2565,2276,2112,3226,1011,482,4287,1723,1688,1987,844,482,2336,2250,3769,883,32,3210,3938,84,1131,3206,1122,482,693,4043,1270,2796,1131,4360,4330,77,1971,968,777,482,2907,769,3216,3216,2928,2907,1046,4072,77,1971,693,4043,844,910,2509,4164,141,1762,3960,482,442,910,3387,4164,3718,166,793,2818,4065,2190,1722,482,3216,1131,461,1668,3949,2526,1668,1618,3678,3537,4012,3695,3727,1876,2566,3274,2392,3096,3695,1947,1335,2955,793,1582,740	0
3685,630,3170,2355,1504,443,482,3170,442,1227,4026,1131,411,482,3170,442,3695,745,1131,1874,482,3170,442,684,3928,1131,1551,482,3170,442,3036,1962,1131,1892,793,3685,630,1259,2623,1504,443,482,3170,618,2859,883,411,1760,2123,3557,482,1874,1760,2271,2485,482,1551,1760,3895,2674,482,1892,1760,3685,3277,793,3977,3685,630,2569,1146,1504,443,482,2565,2738,338,3717,2085,287,2355,1504,443,482,41,960,2085,287,3144,3585,1131,1504,443,793,769,2738,4319,1131,2884,1504,443,482,2907,700,3318,2925,2565,1504,443,793,421,2143,2859,883,2152,876,1131,482,2565,2569,3246,364,1040,3277,2907,700,3318,2925,1131,2884,793	1
100,27,3405,1582,2357,2679,3690,3190,3252,4400,2271,2158,4011,1582,100,2459,426,1539,3440,131,1582,2509,1614,1952,1610,3442,3238,2953,4272,4399,1582,100,27,3405,1582,2357,2679,3690,1582,1135,64,2714,2476,3205,84,2143,3556,482,2355,4294,442,3297,3581,1927,985,2605,962,4011,2116,2705,84,4043,3078,2160,1986,3472,482,3515,3455,347,3799,1955,1107,4302,1539,2334,3700,426,1582,2179,1557,1582,1927,985,3350,1809,1107,107,100,1903,100,1582,1180,3585,2355,3144,3297,4162,296,1857,793,1983,3273,992,209,4260,4028,1131,2514,1101,3119,4093,482,3406,2160,3297,3581,1927,985,2605,962,1786,2243,4011,2717,2953,84,4043,3039,1610,1131,4400,2271,2143,3513,2158,4011,296,1857,793,426,3987,3987,2510,662,1120,1120,3987,2679,3700,3440,1120,2748,1614,1604,1402,340,4394,2510	1
2928,4192,2043,603,946,2566,3683,1742,2031,173,1486,3661,3502,4134,4245,1955,2514,819	0
